x,y,tick,distance_walked,walking_speed,cutting_speed,start_pos
40.0,24.99999999999659,608,117.87250492793656,0.5,1.0,"(2, 2)"
40.0,24.374999999996447,609,118.4975049279367,0.5,1.0,"(2, 2)"
40.0,24.0,610,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,611,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,612,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,613,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,614,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,615,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,616,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,617,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,618,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,619,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,620,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,621,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,622,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,623,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,624,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,625,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,626,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,627,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,628,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,629,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,630,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,631,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,632,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,633,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,634,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,635,118.87250492793315,0.5,1.0,"(2, 2)"
40.0,24.0,636,118.87250492793315,0.5,1.0,"(2, 2)"
